TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-03-10,GIRONA,40-49,2
2020-03-10,BARCELONA CIUTAT,40-49,14
2020-03-10,BARCELONA CIUTAT,70-79,5
2020-03-10,BARCELONA CIUTAT,50-59,9
2020-03-10,GIRONA,50-59,1
2020-03-10,GIRONA,30-39,4
2020-03-10,METROPOLITANA NORD,30-39,5
2020-03-10,METROPOLITANA NORD,60-69,7
2020-03-10,METROPOLITANA SUD,40-49,7
2020-03-10,METROPOLITANA SUD,20-29,3
2020-03-10,METROPOLITANA SUD,70-79,1
2020-03-10,METROPOLITANA SUD,80-89,1
2020-03-10,METROPOLITANA SUD,30-39,7
2020-03-10,METROPOLITANA SUD,60-69,5
2020-03-10,METROPOLITANA SUD,50-59,6
2020-03-10,GIRONA,60-69,2
2020-03-10,METROPOLITANA SUD,90+,1
2020-03-10,METROPOLITANA NORD,20-29,2
2020-03-10,METROPOLITANA NORD,50-59,14
2020-03-10,METROPOLITANA NORD,90+,1
2020-03-10,LLEIDA,50-59,1
2020-03-10,LLEIDA,90+,1
2020-03-10,LLEIDA,20-29,1
2020-03-10,LLEIDA,40-49,1
2020-03-10,METROPOLITANA NORD,40-49,7
2020-03-10,METROPOLITANA NORD,0-9,1
2020-03-11,CATALUNYA CENTRAL,30-39,3
2020-03-11,CATALUNYA CENTRAL,50-59,6
2020-03-11,CATALUNYA CENTRAL,80-89,2
2020-03-11,CATALUNYA CENTRAL,60-69,5
2020-03-11,CATALUNYA CENTRAL,40-49,8
2020-03-11,GIRONA,60-69,3
2020-03-11,CATALUNYA CENTRAL,70-79,2
2020-03-11,GIRONA,30-39,2
2020-03-11,GIRONA,50-59,3
2020-03-11,GIRONA,80-89,1
2020-03-11,GIRONA,70-79,1
2020-03-11,CATALUNYA CENTRAL,20-29,2
2020-03-11,BARCELONA CIUTAT,80-89,5
2020-03-11,CAMP DE TARRAGONA,40-49,1
2020-03-11,GIRONA,40-49,1
2020-03-11,BARCELONA CIUTAT,20-29,8
2020-03-11,BARCELONA CIUTAT,30-39,9
2020-03-11,BARCELONA CIUTAT,60-69,8
2020-03-11,BARCELONA CIUTAT,50-59,16
2020-03-11,BARCELONA CIUTAT,70-79,5
2020-03-11,BARCELONA CIUTAT,40-49,11
2020-03-11,CAMP DE TARRAGONA,20-29,1
2020-03-11,CAMP DE TARRAGONA,10-19,1
2020-03-11,CAMP DE TARRAGONA,70-79,1
2020-03-11,LLEIDA,70-79,2
2020-03-11,METROPOLITANA SUD,80-89,4
2020-03-11,METROPOLITANA SUD,50-59,13
2020-03-11,METROPOLITANA SUD,40-49,10
2020-03-11,METROPOLITANA SUD,30-39,2
2020-03-11,TERRES DE L'EBRE,50-59,2
2020-03-11,METROPOLITANA SUD,60-69,6
