TipusCasData,RegioSanitariaDescripcio,EdatRang,Total
2020-08-08,GIRONA,10-19,1
2020-08-08,BARCELONA CIUTAT,90+,3
2020-08-08,BARCELONA CIUTAT,20-29,18
2020-08-08,BARCELONA CIUTAT,70-79,5
2020-08-08,BARCELONA CIUTAT,40-49,13
2020-08-08,BARCELONA CIUTAT,30-39,23
2020-08-08,BARCELONA CIUTAT,10-19,6
2020-08-08,BARCELONA CIUTAT,50-59,15
2020-08-08,BARCELONA CIUTAT,80-89,4
2020-08-08,ALT PIRINEU I ARAN,30-39,1
2020-08-08,CAMP DE TARRAGONA,20-29,7
2020-08-08,CAMP DE TARRAGONA,50-59,1
2020-08-08,CAMP DE TARRAGONA,40-49,5
2020-08-08,CAMP DE TARRAGONA,70-79,1
2020-08-08,BARCELONA CIUTAT,60-69,7
2020-08-08,BARCELONA CIUTAT,0-9,1
2020-08-08,LLEIDA,20-29,8
2020-08-08,METROPOLITANA NORD,20-29,52
2020-08-08,LLEIDA,90+,2
2020-08-08,METROPOLITANA SUD,30-39,18
2020-08-08,METROPOLITANA SUD,40-49,16
2020-08-08,METROPOLITANA SUD,20-29,13
2020-08-08,METROPOLITANA SUD,70-79,6
2020-08-08,METROPOLITANA NORD,40-49,50
2020-08-08,METROPOLITANA NORD,10-19,26
2020-08-08,METROPOLITANA NORD,30-39,34
2020-08-08,METROPOLITANA NORD,60-69,26
2020-08-08,METROPOLITANA NORD,0-9,20
2020-08-08,METROPOLITANA NORD,50-59,46
2020-08-08,METROPOLITANA SUD,10-19,4
2020-08-08,METROPOLITANA SUD,60-69,6
2020-08-08,TERRES DE L'EBRE,70-79,1
2020-08-08,TERRES DE L'EBRE,60-69,1
2020-08-08,METROPOLITANA SUD,80-89,7
2020-08-08,METROPOLITANA SUD,50-59,16
2020-08-08,METROPOLITANA NORD,80-89,4
2020-08-08,LLEIDA,0-9,3
2020-08-08,LLEIDA,80-89,1
2020-08-08,METROPOLITANA NORD,70-79,14
2020-08-08,METROPOLITANA NORD,90+,5
2020-08-09,GIRONA,20-29,3
2020-08-09,GIRONA,30-39,4
2020-08-09,GIRONA,10-19,5
2020-08-09,GIRONA,50-59,2
2020-08-09,GIRONA,40-49,9
2020-08-09,GIRONA,60-69,3
2020-08-09,CATALUNYA CENTRAL,20-29,4
2020-08-09,CATALUNYA CENTRAL,50-59,1
2020-08-09,CATALUNYA CENTRAL,90+,1
2020-08-09,GIRONA,70-79,1
2020-08-09,LLEIDA,20-29,5
2020-08-09,GIRONA,0-9,3
2020-08-09,GIRONA,80-89,1
2020-08-09,LLEIDA,60-69,3
2020-08-09,LLEIDA,40-49,7
2020-08-09,LLEIDA,10-19,3
2020-08-09,LLEIDA,30-39,7
2020-08-09,LLEIDA,0-9,3
2020-08-09,LLEIDA,50-59,7
2020-08-09,CATALUNYA CENTRAL,60-69,1
2020-08-09,CATALUNYA CENTRAL,40-49,3
2020-08-09,BARCELONA CIUTAT,20-29,12
2020-08-09,CAMP DE TARRAGONA,10-19,2
2020-08-09,ALT PIRINEU I ARAN,10-19,1
2020-08-09,BARCELONA CIUTAT,40-49,15
2020-08-09,BARCELONA CIUTAT,30-39,15
2020-08-09,BARCELONA CIUTAT,60-69,6
2020-08-09,BARCELONA CIUTAT,80-89,5
2020-08-09,BARCELONA CIUTAT,50-59,5
2020-08-09,CAMP DE TARRAGONA,30-39,2
2020-08-09,BARCELONA CIUTAT,0-9,3
2020-08-09,BARCELONA CIUTAT,70-79,3
2020-08-09,BARCELONA CIUTAT,90+,1
2020-08-09,CAMP DE TARRAGONA,40-49,8
2020-08-09,CAMP DE TARRAGONA,60-69,3
2020-08-09,CAMP DE TARRAGONA,80-89,1
2020-08-09,CAMP DE TARRAGONA,0-9,3
2020-08-09,CAMP DE TARRAGONA,70-79,3
2020-08-09,CAMP DE TARRAGONA,20-29,6
2020-08-09,LLEIDA,80-89,3
2020-08-09,METROPOLITANA SUD,20-29,9
2020-08-09,METROPOLITANA SUD,50-59,8
2020-08-09,METROPOLITANA SUD,60-69,3
2020-08-09,METROPOLITANA SUD,10-19,4
2020-08-09,METROPOLITANA SUD,0-9,3
2020-08-09,METROPOLITANA SUD,70-79,3
2020-08-09,METROPOLITANA SUD,80-89,4
2020-08-09,METROPOLITANA SUD,30-39,5
2020-08-09,METROPOLITANA SUD,40-49,11
2020-08-09,TERRES DE L'EBRE,30-39,1
2020-08-09,TERRES DE L'EBRE,60-69,1
2020-08-09,TERRES DE L'EBRE,80-89,3
2020-08-09,TERRES DE L'EBRE,50-59,1
2020-08-09,TERRES DE L'EBRE,90+,1
2020-08-09,METROPOLITANA NORD,20-29,26
2020-08-09,LLEIDA,70-79,1
2020-08-09,METROPOLITANA NORD,0-9,12
2020-08-09,METROPOLITANA NORD,80-89,4
2020-08-09,METROPOLITANA NORD,30-39,24
2020-08-09,METROPOLITANA NORD,50-59,21
2020-08-09,METROPOLITANA NORD,60-69,16
2020-08-09,METROPOLITANA NORD,10-19,25
2020-08-09,METROPOLITANA NORD,70-79,11
2020-08-09,METROPOLITANA NORD,40-49,30
2020-08-09,METROPOLITANA NORD,90+,1
2020-08-10,CATALUNYA CENTRAL,10-19,8
2020-08-10,CATALUNYA CENTRAL,80-89,1
2020-08-10,CATALUNYA CENTRAL,30-39,6
2020-08-10,CATALUNYA CENTRAL,50-59,15
2020-08-10,CATALUNYA CENTRAL,60-69,4
2020-08-10,CATALUNYA CENTRAL,0-9,5
2020-08-10,CATALUNYA CENTRAL,90+,1
2020-08-10,CATALUNYA CENTRAL,70-79,2
2020-08-10,CATALUNYA CENTRAL,40-49,5
2020-08-10,CATALUNYA CENTRAL,20-29,7
2020-08-10,GIRONA,30-39,8
2020-08-10,CAMP DE TARRAGONA,0-9,7
2020-08-10,GIRONA,80-89,7
2020-08-10,GIRONA,70-79,5
2020-08-10,CAMP DE TARRAGONA,20-29,11
2020-08-10,GIRONA,50-59,6
2020-08-10,GIRONA,0-9,12
2020-08-10,GIRONA,10-19,5
2020-08-10,GIRONA,40-49,15
2020-08-10,GIRONA,20-29,16
2020-08-10,GIRONA,60-69,9
2020-08-10,CAMP DE TARRAGONA,30-39,12
2020-08-10,BARCELONA CIUTAT,50-59,31
2020-08-10,BARCELONA CIUTAT,0-9,19
2020-08-10,BARCELONA CIUTAT,40-49,46
2020-08-10,BARCELONA CIUTAT,90+,10
2020-08-10,BARCELONA CIUTAT,60-69,24
2020-08-10,BARCELONA CIUTAT,10-19,21
2020-08-10,BARCELONA CIUTAT,80-89,14
2020-08-10,BARCELONA CIUTAT,30-39,64
2020-08-10,BARCELONA CIUTAT,70-79,14
2020-08-10,BARCELONA CIUTAT,20-29,62
2020-08-10,ALT PIRINEU I ARAN,40-49,1
2020-08-10,ALT PIRINEU I ARAN,30-39,1
2020-08-10,ALT PIRINEU I ARAN,20-29,1
2020-08-10,ALT PIRINEU I ARAN,0-9,2
2020-08-10,ALT PIRINEU I ARAN,50-59,1
2020-08-10,CAMP DE TARRAGONA,50-59,3
2020-08-10,CAMP DE TARRAGONA,70-79,1
2020-08-10,CAMP DE TARRAGONA,10-19,5
2020-08-10,CAMP DE TARRAGONA,60-69,2
2020-08-10,CAMP DE TARRAGONA,80-89,2
2020-08-10,CAMP DE TARRAGONA,40-49,6
2020-08-10,LLEIDA,90+,3
2020-08-10,LLEIDA,60-69,7
2020-08-10,METROPOLITANA SUD,80-89,7
2020-08-10,METROPOLITANA SUD,70-79,16
2020-08-10,METROPOLITANA SUD,40-49,51
2020-08-10,METROPOLITANA SUD,0-9,20
2020-08-10,METROPOLITANA SUD,20-29,52
2020-08-10,METROPOLITANA SUD,50-59,38
2020-08-10,METROPOLITANA SUD,60-69,18
2020-08-10,METROPOLITANA SUD,30-39,50
2020-08-10,METROPOLITANA SUD,10-19,25
2020-08-10,METROPOLITANA NORD,50-59,47
2020-08-10,METROPOLITANA NORD,30-39,50
2020-08-10,METROPOLITANA NORD,70-79,22
2020-08-10,METROPOLITANA NORD,40-49,77
2020-08-10,METROPOLITANA NORD,0-9,28
2020-08-10,METROPOLITANA NORD,90+,3
2020-08-10,METROPOLITANA NORD,20-29,81
2020-08-10,METROPOLITANA SUD,90+,5
2020-08-10,TERRES DE L'EBRE,80-89,4
2020-08-10,TERRES DE L'EBRE,30-39,2
2020-08-10,TERRES DE L'EBRE,90+,1
2020-08-10,TERRES DE L'EBRE,0-9,1
2020-08-10,TERRES DE L'EBRE,10-19,2
2020-08-10,TERRES DE L'EBRE,20-29,2
2020-08-10,TERRES DE L'EBRE,40-49,1
2020-08-10,METROPOLITANA NORD,10-19,35
2020-08-10,METROPOLITANA NORD,60-69,30
2020-08-10,METROPOLITANA NORD,80-89,9
2020-08-10,LLEIDA,70-79,5
2020-08-10,LLEIDA,80-89,2
2020-08-10,LLEIDA,0-9,7
2020-08-10,LLEIDA,40-49,27
2020-08-10,LLEIDA,10-19,3
2020-08-10,LLEIDA,20-29,17
2020-08-10,LLEIDA,30-39,18
2020-08-10,LLEIDA,50-59,13
2020-08-11,CATALUNYA CENTRAL,50-59,11
2020-08-11,CATALUNYA CENTRAL,40-49,7
2020-08-11,CATALUNYA CENTRAL,80-89,3
2020-08-11,CATALUNYA CENTRAL,0-9,1
2020-08-11,CAMP DE TARRAGONA,50-59,7
2020-08-11,GIRONA,0-9,5
2020-08-11,GIRONA,30-39,7
2020-08-11,CATALUNYA CENTRAL,60-69,3
2020-08-11,GIRONA,50-59,12
2020-08-11,CATALUNYA CENTRAL,70-79,4
2020-08-11,CATALUNYA CENTRAL,90+,1
2020-08-11,CATALUNYA CENTRAL,20-29,8
2020-08-11,CATALUNYA CENTRAL,30-39,3
2020-08-11,GIRONA,20-29,12
2020-08-11,LLEIDA,40-49,19
2020-08-11,GIRONA,70-79,5
2020-08-11,LLEIDA,70-79,5
2020-08-11,CAMP DE TARRAGONA,20-29,7
2020-08-11,LLEIDA,60-69,5
2020-08-11,LLEIDA,50-59,12
2020-08-11,LLEIDA,30-39,10
2020-08-11,GIRONA,40-49,11
2020-08-11,GIRONA,60-69,6
2020-08-11,GIRONA,10-19,10
2020-08-11,GIRONA,80-89,3
2020-08-11,GIRONA,90+,1
2020-08-11,CAMP DE TARRAGONA,40-49,7
2020-08-11,BARCELONA CIUTAT,50-59,47
2020-08-11,BARCELONA CIUTAT,20-29,53
2020-08-11,BARCELONA CIUTAT,70-79,20
2020-08-11,BARCELONA CIUTAT,60-69,20
2020-08-11,BARCELONA CIUTAT,40-49,63
2020-08-11,BARCELONA CIUTAT,90+,30
2020-08-11,BARCELONA CIUTAT,10-19,18
2020-08-11,BARCELONA CIUTAT,80-89,31
2020-08-11,BARCELONA CIUTAT,30-39,60
2020-08-11,BARCELONA CIUTAT,0-9,15
2020-08-11,ALT PIRINEU I ARAN,10-19,2
2020-08-11,ALT PIRINEU I ARAN,20-29,2
2020-08-11,CAMP DE TARRAGONA,30-39,7
2020-08-11,CAMP DE TARRAGONA,80-89,1
2020-08-11,CAMP DE TARRAGONA,70-79,6
2020-08-11,CAMP DE TARRAGONA,10-19,7
2020-08-11,CAMP DE TARRAGONA,60-69,2
2020-08-11,LLEIDA,10-19,6
2020-08-11,CATALUNYA CENTRAL,10-19,2
2020-08-11,METROPOLITANA SUD,70-79,11
2020-08-11,METROPOLITANA SUD,40-49,45
2020-08-11,METROPOLITANA SUD,20-29,46
2020-08-11,METROPOLITANA SUD,50-59,26
2020-08-11,METROPOLITANA SUD,30-39,42
2020-08-11,METROPOLITANA SUD,80-89,3
2020-08-11,METROPOLITANA SUD,60-69,18
2020-08-11,METROPOLITANA SUD,10-19,24
2020-08-11,METROPOLITANA SUD,0-9,20
2020-08-11,METROPOLITANA SUD,90+,2
2020-08-11,METROPOLITANA NORD,60-69,23
2020-08-11,METROPOLITANA NORD,40-49,60
2020-08-11,TERRES DE L'EBRE,40-49,5
2020-08-11,TERRES DE L'EBRE,60-69,4
2020-08-11,LLEIDA,80-89,8
2020-08-11,TERRES DE L'EBRE,50-59,7
2020-08-11,TERRES DE L'EBRE,20-29,2
2020-08-11,TERRES DE L'EBRE,0-9,1
2020-08-11,TERRES DE L'EBRE,30-39,2
2020-08-11,TERRES DE L'EBRE,70-79,1
2020-08-11,TERRES DE L'EBRE,10-19,3
2020-08-11,METROPOLITANA NORD,10-19,28
2020-08-11,METROPOLITANA NORD,30-39,42
2020-08-11,METROPOLITANA NORD,80-89,14
2020-08-11,METROPOLITANA NORD,50-59,52
2020-08-11,METROPOLITANA NORD,70-79,21
2020-08-11,METROPOLITANA NORD,20-29,70
2020-08-11,METROPOLITANA NORD,0-9,23
2020-08-11,METROPOLITANA NORD,90+,4
2020-08-11,LLEIDA,90+,3
2020-08-11,LLEIDA,0-9,9
2020-08-11,LLEIDA,20-29,12
2020-08-12,CATALUNYA CENTRAL,80-89,2
2020-08-12,CATALUNYA CENTRAL,30-39,8
2020-08-12,CATALUNYA CENTRAL,40-49,9
2020-08-12,CATALUNYA CENTRAL,50-59,7
2020-08-12,CATALUNYA CENTRAL,90+,1
2020-08-12,CATALUNYA CENTRAL,20-29,9
2020-08-12,CATALUNYA CENTRAL,10-19,4
2020-08-12,CATALUNYA CENTRAL,60-69,5
2020-08-12,CAMP DE TARRAGONA,80-89,2
2020-08-12,CAMP DE TARRAGONA,50-59,11
2020-08-12,GIRONA,50-59,8
2020-08-12,GIRONA,30-39,12
2020-08-12,CAMP DE TARRAGONA,30-39,7
2020-08-12,LLEIDA,50-59,13
2020-08-12,LLEIDA,40-49,10
2020-08-12,LLEIDA,80-89,4
2020-08-12,LLEIDA,60-69,13
2020-08-12,LLEIDA,0-9,1
2020-08-12,LLEIDA,30-39,10
2020-08-12,GIRONA,40-49,14
2020-08-12,GIRONA,20-29,16
2020-08-12,GIRONA,60-69,3
2020-08-12,GIRONA,0-9,4
2020-08-12,GIRONA,10-19,5
2020-08-12,GIRONA,80-89,1
2020-08-12,CAMP DE TARRAGONA,10-19,3
2020-08-12,BARCELONA CIUTAT,50-59,27
2020-08-12,CAMP DE TARRAGONA,0-9,8
2020-08-12,BARCELONA CIUTAT,10-19,22
2020-08-12,BARCELONA CIUTAT,40-49,52
2020-08-12,BARCELONA CIUTAT,70-79,10
2020-08-12,BARCELONA CIUTAT,90+,3
2020-08-12,BARCELONA CIUTAT,20-29,45
2020-08-12,BARCELONA CIUTAT,30-39,63
2020-08-12,BARCELONA CIUTAT,0-9,22
2020-08-12,BARCELONA CIUTAT,60-69,26
2020-08-12,BARCELONA CIUTAT,80-89,10
2020-08-12,ALT PIRINEU I ARAN,70-79,1
2020-08-12,ALT PIRINEU I ARAN,0-9,1
2020-08-12,ALT PIRINEU I ARAN,10-19,1
2020-08-12,ALT PIRINEU I ARAN,40-49,2
2020-08-12,ALT PIRINEU I ARAN,30-39,2
2020-08-12,CAMP DE TARRAGONA,20-29,6
2020-08-12,CAMP DE TARRAGONA,60-69,5
2020-08-12,CAMP DE TARRAGONA,40-49,10
2020-08-12,CAMP DE TARRAGONA,70-79,1
2020-08-12,METROPOLITANA SUD,30-39,39
2020-08-12,METROPOLITANA SUD,70-79,14
2020-08-12,METROPOLITANA SUD,0-9,21
2020-08-12,METROPOLITANA SUD,50-59,36
2020-08-12,METROPOLITANA SUD,40-49,55
2020-08-12,METROPOLITANA SUD,80-89,8
2020-08-12,METROPOLITANA SUD,60-69,18
2020-08-12,METROPOLITANA SUD,20-29,53
2020-08-12,METROPOLITANA SUD,10-19,27
2020-08-12,METROPOLITANA NORD,0-9,26
2020-08-12,METROPOLITANA NORD,90+,18
2020-08-12,TERRES DE L'EBRE,60-69,5
2020-08-12,TERRES DE L'EBRE,80-89,2
2020-08-12,TERRES DE L'EBRE,50-59,1
2020-08-12,TERRES DE L'EBRE,30-39,1
2020-08-12,TERRES DE L'EBRE,40-49,1
2020-08-12,TERRES DE L'EBRE,20-29,2
2020-08-12,TERRES DE L'EBRE,70-79,1
2020-08-12,METROPOLITANA NORD,20-29,57
2020-08-12,METROPOLITANA NORD,30-39,53
2020-08-12,METROPOLITANA NORD,10-19,44
2020-08-12,METROPOLITANA NORD,70-79,13
2020-08-12,METROPOLITANA NORD,60-69,30
2020-08-12,LLEIDA,90+,3
2020-08-12,LLEIDA,20-29,11
2020-08-12,LLEIDA,70-79,4
2020-08-12,LLEIDA,10-19,10
2020-08-12,METROPOLITANA NORD,50-59,45
2020-08-12,METROPOLITANA NORD,40-49,76
2020-08-12,METROPOLITANA NORD,80-89,13
2020-08-13,CATALUNYA CENTRAL,50-59,7
2020-08-13,CATALUNYA CENTRAL,10-19,1
2020-08-13,CATALUNYA CENTRAL,70-79,1
2020-08-13,CATALUNYA CENTRAL,40-49,18
2020-08-13,CATALUNYA CENTRAL,20-29,9
2020-08-13,CATALUNYA CENTRAL,60-69,5
2020-08-13,CATALUNYA CENTRAL,30-39,10
2020-08-13,CATALUNYA CENTRAL,0-9,4
2020-08-13,CAMP DE TARRAGONA,30-39,14
2020-08-13,CAMP DE TARRAGONA,60-69,6
2020-08-13,CAMP DE TARRAGONA,40-49,14
2020-08-13,CAMP DE TARRAGONA,0-9,10
2020-08-13,CAMP DE TARRAGONA,50-59,11
2020-08-13,CAMP DE TARRAGONA,80-89,5
2020-08-13,CATALUNYA CENTRAL,80-89,3
2020-08-13,GIRONA,10-19,7
2020-08-13,CAMP DE TARRAGONA,70-79,2
2020-08-13,GIRONA,40-49,10
2020-08-13,GIRONA,30-39,18
2020-08-13,GIRONA,70-79,4
2020-08-13,GIRONA,50-59,9
2020-08-13,GIRONA,20-29,8
2020-08-13,GIRONA,0-9,6
2020-08-13,ALT PIRINEU I ARAN,20-29,2
2020-08-13,BARCELONA CIUTAT,50-59,31
2020-08-13,BARCELONA CIUTAT,10-19,30
2020-08-13,BARCELONA CIUTAT,0-9,22
2020-08-13,BARCELONA CIUTAT,60-69,21
2020-08-13,BARCELONA CIUTAT,80-89,8
2020-08-13,BARCELONA CIUTAT,40-49,66
2020-08-13,BARCELONA CIUTAT,30-39,65
2020-08-13,BARCELONA CIUTAT,20-29,67
2020-08-13,ALT PIRINEU I ARAN,0-9,1
2020-08-13,ALT PIRINEU I ARAN,30-39,4
2020-08-13,ALT PIRINEU I ARAN,60-69,1
2020-08-13,ALT PIRINEU I ARAN,10-19,1
2020-08-13,ALT PIRINEU I ARAN,40-49,3
2020-08-13,BARCELONA CIUTAT,70-79,12
2020-08-13,CAMP DE TARRAGONA,10-19,6
2020-08-13,BARCELONA CIUTAT,90+,5
2020-08-13,CAMP DE TARRAGONA,20-29,11
2020-08-13,GIRONA,80-89,2
2020-08-13,METROPOLITANA SUD,40-49,33
2020-08-13,METROPOLITANA SUD,10-19,28
2020-08-13,METROPOLITANA SUD,20-29,44
2020-08-13,METROPOLITANA SUD,80-89,5
2020-08-13,METROPOLITANA SUD,70-79,15
2020-08-13,METROPOLITANA SUD,50-59,42
2020-08-13,METROPOLITANA SUD,60-69,20
2020-08-13,METROPOLITANA SUD,0-9,19
2020-08-13,METROPOLITANA SUD,90+,6
2020-08-13,METROPOLITANA NORD,70-79,21
2020-08-13,METROPOLITANA NORD,20-29,54
2020-08-13,METROPOLITANA NORD,0-9,26
2020-08-13,METROPOLITANA NORD,30-39,48
2020-08-13,METROPOLITANA NORD,10-19,34
2020-08-13,METROPOLITANA NORD,50-59,59
2020-08-13,METROPOLITANA NORD,40-49,82
2020-08-13,TERRES DE L'EBRE,80-89,1
2020-08-13,TERRES DE L'EBRE,0-9,2
2020-08-13,TERRES DE L'EBRE,30-39,3
2020-08-13,TERRES DE L'EBRE,50-59,1
2020-08-13,TERRES DE L'EBRE,60-69,2
2020-08-13,METROPOLITANA SUD,30-39,49
2020-08-13,METROPOLITANA NORD,60-69,34
2020-08-13,METROPOLITANA NORD,80-89,27
2020-08-13,LLEIDA,30-39,8
2020-08-13,LLEIDA,0-9,5
2020-08-13,LLEIDA,40-49,10
2020-08-13,LLEIDA,70-79,4
2020-08-13,LLEIDA,80-89,1
2020-08-13,LLEIDA,50-59,11
2020-08-13,LLEIDA,60-69,6
2020-08-13,LLEIDA,20-29,11
2020-08-13,LLEIDA,10-19,6
2020-08-13,GIRONA,60-69,4
2020-08-13,METROPOLITANA NORD,90+,4
2020-08-14,CATALUNYA CENTRAL,20-29,11
2020-08-14,CATALUNYA CENTRAL,50-59,11
2020-08-14,CATALUNYA CENTRAL,10-19,6
2020-08-14,CATALUNYA CENTRAL,40-49,7
2020-08-14,CATALUNYA CENTRAL,60-69,6
2020-08-14,CATALUNYA CENTRAL,70-79,2
2020-08-14,CAMP DE TARRAGONA,40-49,13
2020-08-14,CATALUNYA CENTRAL,30-39,8
2020-08-14,CAMP DE TARRAGONA,90+,2
2020-08-14,CAMP DE TARRAGONA,80-89,2
2020-08-14,CAMP DE TARRAGONA,70-79,3
2020-08-14,CAMP DE TARRAGONA,20-29,15
2020-08-14,CAMP DE TARRAGONA,60-69,6
2020-08-14,GIRONA,40-49,7
2020-08-14,CATALUNYA CENTRAL,90+,1
2020-08-14,CAMP DE TARRAGONA,50-59,9
2020-08-14,LLEIDA,50-59,5
2020-08-14,GIRONA,0-9,1
2020-08-14,GIRONA,50-59,9
2020-08-14,GIRONA,30-39,11
2020-08-14,GIRONA,10-19,7
2020-08-14,GIRONA,20-29,22
2020-08-14,GIRONA,70-79,3
2020-08-14,GIRONA,60-69,3
2020-08-14,CAMP DE TARRAGONA,30-39,14
2020-08-14,BARCELONA CIUTAT,0-9,14
2020-08-14,BARCELONA CIUTAT,70-79,18
2020-08-14,BARCELONA CIUTAT,20-29,57
2020-08-14,BARCELONA CIUTAT,90+,4
2020-08-14,BARCELONA CIUTAT,60-69,26
2020-08-14,BARCELONA CIUTAT,40-49,47
2020-08-14,BARCELONA CIUTAT,50-59,34
2020-08-14,BARCELONA CIUTAT,30-39,71
2020-08-14,ALT PIRINEU I ARAN,50-59,4
2020-08-14,ALT PIRINEU I ARAN,70-79,2
2020-08-14,ALT PIRINEU I ARAN,30-39,1
2020-08-14,ALT PIRINEU I ARAN,10-19,1
2020-08-14,ALT PIRINEU I ARAN,40-49,1
2020-08-14,ALT PIRINEU I ARAN,20-29,2
2020-08-14,LLEIDA,60-69,4
2020-08-14,CAMP DE TARRAGONA,10-19,5
2020-08-14,CAMP DE TARRAGONA,0-9,13
2020-08-14,BARCELONA CIUTAT,80-89,9
2020-08-14,BARCELONA CIUTAT,10-19,24
2020-08-14,LLEIDA,80-89,5
2020-08-14,LLEIDA,70-79,7
2020-08-14,METROPOLITANA SUD,30-39,44
2020-08-14,METROPOLITANA SUD,70-79,12
2020-08-14,METROPOLITANA SUD,60-69,25
2020-08-14,METROPOLITANA SUD,20-29,50
2020-08-14,METROPOLITANA SUD,40-49,41
2020-08-14,METROPOLITANA SUD,80-89,5
2020-08-14,METROPOLITANA SUD,10-19,28
2020-08-14,METROPOLITANA SUD,0-9,26
2020-08-14,METROPOLITANA SUD,50-59,46
2020-08-14,TERRES DE L'EBRE,10-19,3
2020-08-14,TERRES DE L'EBRE,40-49,5
2020-08-14,TERRES DE L'EBRE,60-69,1
2020-08-14,TERRES DE L'EBRE,20-29,4
2020-08-14,TERRES DE L'EBRE,30-39,5
2020-08-14,TERRES DE L'EBRE,50-59,7
2020-08-14,TERRES DE L'EBRE,90+,2
2020-08-14,TERRES DE L'EBRE,70-79,2
2020-08-14,TERRES DE L'EBRE,0-9,5
2020-08-14,TERRES DE L'EBRE,80-89,2
2020-08-14,METROPOLITANA SUD,90+,2
2020-08-14,METROPOLITANA NORD,20-29,75
2020-08-14,METROPOLITANA NORD,0-9,16
2020-08-14,METROPOLITANA NORD,80-89,10
2020-08-14,METROPOLITANA NORD,50-59,47
2020-08-14,METROPOLITANA NORD,30-39,51
2020-08-14,METROPOLITANA NORD,60-69,24
2020-08-14,METROPOLITANA NORD,70-79,10
2020-08-14,METROPOLITANA NORD,40-49,76
2020-08-14,LLEIDA,40-49,18
2020-08-14,LLEIDA,30-39,13
2020-08-14,LLEIDA,0-9,10
2020-08-14,LLEIDA,10-19,13
2020-08-14,LLEIDA,20-29,11
2020-08-14,METROPOLITANA NORD,90+,1
2020-08-14,METROPOLITANA NORD,10-19,38
2020-08-15,CATALUNYA CENTRAL,90+,1
2020-08-15,CATALUNYA CENTRAL,60-69,2
2020-08-15,CATALUNYA CENTRAL,20-29,2
2020-08-15,CATALUNYA CENTRAL,50-59,5
2020-08-15,CATALUNYA CENTRAL,30-39,5
2020-08-15,CATALUNYA CENTRAL,40-49,5
2020-08-15,CAMP DE TARRAGONA,80-89,3
2020-08-15,CATALUNYA CENTRAL,10-19,2
2020-08-15,CAMP DE TARRAGONA,40-49,8
2020-08-15,CAMP DE TARRAGONA,0-9,6
2020-08-15,CAMP DE TARRAGONA,60-69,2
2020-08-15,CAMP DE TARRAGONA,10-19,6
2020-08-15,CAMP DE TARRAGONA,30-39,8
2020-08-15,GIRONA,30-39,5
2020-08-15,CATALUNYA CENTRAL,0-9,5
2020-08-15,LLEIDA,40-49,7
2020-08-15,CAMP DE TARRAGONA,50-59,9
2020-08-15,LLEIDA,50-59,4
2020-08-15,GIRONA,60-69,2
2020-08-15,GIRONA,50-59,6
2020-08-15,GIRONA,40-49,8
2020-08-15,GIRONA,10-19,7
2020-08-15,GIRONA,0-9,2
2020-08-15,GIRONA,20-29,9
2020-08-15,BARCELONA CIUTAT,50-59,12
2020-08-15,CAMP DE TARRAGONA,20-29,7
2020-08-15,BARCELONA CIUTAT,60-69,7
2020-08-15,BARCELONA CIUTAT,70-79,10
2020-08-15,BARCELONA CIUTAT,10-19,6
2020-08-15,BARCELONA CIUTAT,0-9,5
2020-08-15,BARCELONA CIUTAT,20-29,15
2020-08-15,BARCELONA CIUTAT,40-49,14
2020-08-15,BARCELONA CIUTAT,90+,2
2020-08-15,BARCELONA CIUTAT,80-89,7
2020-08-15,BARCELONA CIUTAT,30-39,22
2020-08-15,ALT PIRINEU I ARAN,60-69,1
2020-08-15,ALT PIRINEU I ARAN,20-29,2
2020-08-15,ALT PIRINEU I ARAN,40-49,3
2020-08-15,ALT PIRINEU I ARAN,30-39,2
2020-08-15,LLEIDA,80-89,1
2020-08-15,CAMP DE TARRAGONA,70-79,3
2020-08-15,LLEIDA,30-39,6
2020-08-15,METROPOLITANA NORD,40-49,32
2020-08-15,LLEIDA,60-69,5
2020-08-15,METROPOLITANA SUD,50-59,14
2020-08-15,METROPOLITANA SUD,70-79,7
2020-08-15,METROPOLITANA SUD,60-69,11
2020-08-15,METROPOLITANA SUD,20-29,14
2020-08-15,METROPOLITANA SUD,10-19,8
2020-08-15,METROPOLITANA SUD,40-49,13
2020-08-15,METROPOLITANA SUD,80-89,6
2020-08-15,METROPOLITANA SUD,0-9,4
2020-08-15,METROPOLITANA SUD,30-39,12
2020-08-15,TERRES DE L'EBRE,50-59,3
2020-08-15,TERRES DE L'EBRE,60-69,3
2020-08-15,TERRES DE L'EBRE,90+,2
2020-08-15,TERRES DE L'EBRE,70-79,3
2020-08-15,TERRES DE L'EBRE,10-19,2
2020-08-15,LLEIDA,10-19,7
2020-08-15,METROPOLITANA SUD,90+,2
2020-08-15,TERRES DE L'EBRE,80-89,1
2020-08-15,METROPOLITANA NORD,10-19,18
2020-08-15,METROPOLITANA NORD,50-59,29
2020-08-15,LLEIDA,0-9,4
2020-08-15,LLEIDA,20-29,4
2020-08-15,LLEIDA,70-79,2
2020-08-15,METROPOLITANA NORD,80-89,2
2020-08-15,METROPOLITANA NORD,30-39,25
2020-08-15,LLEIDA,90+,1
2020-08-15,METROPOLITANA NORD,60-69,9
2020-08-15,METROPOLITANA NORD,0-9,17
2020-08-15,METROPOLITANA NORD,70-79,10
2020-08-15,METROPOLITANA NORD,20-29,39
